Rank,Company,Location,Year_End,Annual_sales_rise_over_3_years,Latest_sales,Staff,Comment
1, Chilly’s BottlesReusable bottle brand, Central London, Jul-19, 284.01%, *31471, 15, Name inspired by how the bottles can keep drinks cold and chilly or hot like a chilli pepper 
2, Junkyard Golf ClubMini golf course operator, Manchester, Mar-19, 204.21%, *12841, 230, Giant bears fairground rides and scrapped cars all feature on its crazy golf courses 
3, CurveWorkplace design and construction, Berkshire, Sep-19, 186.16%, *9241, 16, Designed an office with a star-shaped entrance and a racetrack carpet for children's charity Make-A-Wish]  
4, Performance54Golf marketing agency, Surrey, Apr-19, 181.13%, *6190, 16, The number '54' represents the perfect round of golf; 18 birdies]  
5, Xpress CentresCar repair services, Banbury, Jul-19, 178.24%, *5633, 65, Carries out 15000 bodywork repairs per year in supermarket car parks 
6, MissomaOnline jewellery brand, West London, Mar-19, 165.91%, *11991, 43, The brand is popular among younger royals including the Duchess of Sussex]  
7, OoniPizza oven manufacturer, Edinburgh, Dec-18, 148.13%, *9987, 28, Says its Koda oven can reach a temperature of 500 degrees celsius and cook a pizza in 60 seconds]  
8, Evergen GroupSolar panel installer, Maidenhead, May-19, 142.97%, *9299, 25, Installed a CityTree an anti-pollution device equivalent to 275 trees at Piccadilly Circus
9, Childs FarmChildren's toiletries maker, Hampshire, Dec-18, 142.72%, 12818, 28, Its products are now available in more than 7500 stores nationwide and launched in New Zealand this August 
10, GymsharkFitness clothing retailer, Solihull, Jul-19, 141.26%, *179546, 300, Has launched a “try now pay later” service in the UK and Scandinavia 
11, One Retail GroupConsumer products retailer, Northwest London, Dec-18, 136.64%, 25420, 11, Founder Joshua Stevens learned Mandarin during his commute to negotiate better with suppliers]  
12, Warner’s DistilleryGin distillery, Northamptonshire, Dec-18, 131.13%, *10859, 34, Claims to have started the recent pink gin craze when it created its rhubarb gin]  
13, Oh PollyOnline fashion retailer, Glasgow, Apr-19, 124.07%, *21380, 168, Founders Claire Henderson and Mike Branney met while they were studying aeronautical engineering]  
14, Prodigi GroupDigital printing, Cardiff, Mar-19, 123.55%, 17861, 80, A live snake once accidentally found its way into one of its deliveries]  
15, Bluefin TradingSports equipment supplier, West Yorkshire, Dec-18, 121.81%, †*6672, 10, This firm’s HQ is a farm in the West Yorkshire Pennines 1200ft above sea level
